Air Pollution (PM2.5) - Population weighted exposure to PM2.5 (micro-grams per cubic meter),,,,,,,,,,,,,
Source: Boys et al. (2014); Aaron van Donkelaar (submitted).,,,,,,,,,,,,,
Notes: NA = Not Applicable,,,,,,,,,,,,,
,,,,,,,,,,,,,
Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Faeroe Islands,1.02,0.93,1.08,1.2,1.06,1.02,0.98,1.02,1.06,0.95,0.92,0.94,0.96
Falkland Islands,12.38,2.84,12.18,12.18,12.14,12.18,12.22,12.37,12.43,12.32,12.26,12.25,12.33
Fiji,0.84,0.6,0.8,0.8,0.81,0.82,0.86,0.89,0.87,0.83,0.84,0.86,0.85
Finland,5.76,5.32,5.6,5.79,5.98,6.35,6.85,6.58,6.23,5.82,5.88,5.69,5.45
France,12.51,12.38,11.71,12.15,12.07,11.89,11.94,11.94,11.56,11.03,10.77,11,10.67
French Guiana,3.87,1.57,3.69,3.96,4.33,4.16,4.47,4.57,4.4,4.01,4.2,4.42,4.42
French Polynesia,1.35,1.3,1.41,1.42,1.44,1.44,1.44,1.44,1.44,1.45,1.46,1.49,1.53
Gabon,8.62,6.82,6.55,5.75,5.62,6.13,6.17,5.63,5.28,4.26,5.23,5.12,5.45
Gambia,5.22,5.21,5.3,5.88,5.67,5.31,5.35,5.25,4.43,4.35,4.82,4.89,4.74
Georgia,10.85,10.49,10.6,11.25,11.29,12.19,11.17,11.9,10.85,11.89,10.76,11.99,10.73
Germany,15.07,15.06,14.76,16.3,16.4,16.13,16.11,15.47,13.11,12.63,12.68,13.75,13.31
Ghana,6.97,6.84,7.74,7.6,7.83,8.04,9.14,9.03,7.89,7.77,8.51,8.47,8.15
Gibraltar,9,9,8,7.9,7.8,7.6,6.6,6.6,7.3,7.3,6.4,6.4,7.2
Greece,12.98,12.96,12.36,13.07,12.95,12.68,12.23,11.98,11.67,11.38,11.29,11.62,11.55
Greenland,5.45,1.89,6.87,6.96,6.99,7.07,7.11,7.17,7.1,6.97,7,7.07,7.11
Grenada,2.52,2.52,2.09,2.23,2.32,2.64,2.39,2.46,2.24,2.15,2.15,2.56,2.64
Guadeloupe,2.96,2.95,2.83,2.95,3.02,3.22,3.72,3.68,3.4,3.4,3.64,3.63,3.63
Guam,3,3,2.8,2.8,2.96,2.97,2.91,2.87,2.61,2.68,2.59,2.67,2.59
Guatemala,5.13,5.05,5.74,6.34,6.53,7.18,6.52,7.32,6.66,6.42,5.68,5.98,6.07
Guinea,6.75,6.71,7.21,7.67,7.6,7.61,7.66,7.32,5.34,5.12,5.59,5.59,5.13
Guinea-Bissau,7.21,7.18,6.92,7.12,6.92,6.29,6.51,6.07,5.07,4.94,5.26,5.23,4.48
Guyana,3.16,0.64,2.82,2.62,2.57,2.77,2.91,3.1,2.59,2.39,2.46,2.37,2.49
Haiti,5.18,4.91,5.46,5.71,5.59,6.1,6.77,6.75,6.25,5.98,6.27,6.59,6.55
Holy See,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Honduras,6.41,6.35,5.39,5.95,5.7,7.29,5.9,6.32,5.81,5.75,5.36,5.58,5.43
Hong Kong,15.22,14.42,15.05,16.03,17.05,17.92,17.77,17.57,18.6,19.2,17.33,16.25,15.37
Hungary,19.11,19.1,18.65,19.22,18.53,18.81,20.06,19.97,15.98,15.3,15.06,16.59,15.64
Iceland,2.86,1.86,2.82,3.01,3.07,2.88,2.8,2.75,2.84,2.69,2.93,2.89,2.95
India,19.83,19.82,23.68,25.21,26.13,27.25,28.27,29.34,30.57,30.95,31.09,31.69,31.98
Indonesia,8.14,6.67,8.52,8.15,8.59,8.72,9.83,9.57,9.34,8.56,8.3,8.63,9.21
Iran,10.07,9.54,10.46,10.33,9.98,9.98,9.85,10.39,10.52,10.63,10.24,10.52,11.25
Iraq,12.84,12.79,13.65,12.13,11.9,11.98,13.89,14.6,15.44,16.42,16.48,16.55,16.71
